TID: [] [2025-04-10 17:58:32,509] []  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-Claim-Value Target=a***n Data={"Claim Value":["e**********************************b"],"Claim":"urn:ietf:params:scim:schemas:core:2.0:id","Profile":"default"} Outcome=Success
TID: [-1234] [2025-04-10 21:10:41,880] [bfb291be-3e8d-49d5-9292-44419e933834]  INFO {AUDIT_LOG} - Initiator : 193161ee-c122-4030-81f7-984f5197038d | Action : Update-Application | Target : 404ad37a-efc7-4cae-b109-89caeb7f4e02 | Data : { Changed-State : { Name:MyReactApp, Description:null, Application Version:v2.0.0, Resource ID:404ad37a-efc7-4cae-b109-89caeb7f4e02, Access URL:null, Is Discoverable:false, Is SaaS:false, Inbound Authentication Configs:[{Auth Key:k**************************a, Auth Type:oauth2, Config Type:null, Inbound configuration:null}], Local and Outbound Configuration:{Auth Type:default, Authentication Steps:[{Step Order:1, , Local Authenticators:[BasicAuthenticator]}]}, Claim Configuration:{User Claim URI:null, Role Claim URI:null, Claim Mappings: [{Local Claim:http://wso2.org/claims/username, Remote Claim:http://wso2.org/claims/username}]}, Inbound Provisioning Configuration:{Provisioning Userstore:null, Is Dumb Mode:false}, Outbound Provisioning Configuration:{}, Service Provider Properties:[{isAPIBasedAuthenticationEnabled:false}, {isManagementApp:false}, {USE_DOMAIN_IN_ROLES:true}, {skipLogoutConsent:true}, {skipConsent:true}, {jwksURI:}, {appleAppId:null}, {templateId:6a90e4b0-fbff-42d7-bfde-1efd98f07cd7}, {IsApplicationEnabled:true}, {useUserIdForDefaultSubject:true}, {isB2BSelfServiceApp:false}, {androidPackageName:null}, {useExternalConsentPage:false}, {allowedAudienceForAssociatedRoles:application}, {IsAttestationEnabled:false}, {templateVersion:}, {shareWithAllChildren:true}] } } | Result : Success 
TID: [-1234] [2025-04-10 21:11:13,418] [35e78c9e-f13f-40c7-aff8-a6812d014173]  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-Claim-Values Target=a***n Data={"ServiceProviderName":"Console","Claims":{"http://wso2.org/claims/username":"a***n","http://wso2.org/claims/userid":"193161ee-c122-4030-81f7-984f5197038d","http://wso2.org/claims/roles":"I*****************************************************e","http://wso2.org/claims/groups":"a***n","http://wso2.org/claims/userprincipal":"a***n"}} Outcome=Success
TID: [-1234] [2025-04-10 21:11:13,444] [35e78c9e-f13f-40c7-aff8-a6812d014173]  INFO {AUDIT_LOG} - Initiator : 193161ee-c122-4030-81f7-984f5197038d | Action : UpdateSession | Data : { {"traceId":"35e78c9e-f13f-40c7-aff8-a6812d014173","RememberMe":false,"sessionContextId":"cf176148fbda29bd88585e5c88b03f69a3ad5aead905947ec3c942344f749025","AuthenticatedUserTenantDomain":"carbon.super","AuthenticatedUser":"P***********n","LastAccessedTimestamp":1744319473425} } | Result : Success 
TID: [-1234] [2025-04-10 21:11:13,456] [35e78c9e-f13f-40c7-aff8-a6812d014173]  INFO {AUDIT_LOG} - Initiator : 1***********************************************r | Action : Login | Target : ApplicationAuthenticationFramework | Data : { "ContextIdentifier" : "96fb17e0-292a-4cf6-91c7-54392aee8163","AuthenticatedUser" : "1***********************************************r","AuthenticatedUserTenantDomain" : "carbon.super","ServiceProviderName" : "Console","RequestType" : "oidc","RelyingParty" : "CONSOLE","AuthenticatedIdPs" : "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJ3c28yIiwiZXhwIjoxNzQ0MzE5NDc2MzcyLCJpYXQiOjE3NDQzMTk0NzMzNzIsImlkcHMiOlt7ImlkcCI6IkxPQ0FMIiwiYXV0aGVudGljYXRvciI6IkJhc2ljQXV0aGVudGljYXRvciJ9XX0.B42UrDb6kMzJQJxvY3tAjW9MrMin1smoFF-rivnOKOA","User Agent" : "null","RemoteAddress" : "null","UserStoreDomain" : "PRIMARY" } | Result : Success 
TID: [-1234] [2025-04-10 21:11:29,894] [843ef6d4-cd92-42aa-b4af-5df58b7b8cad]  INFO {AUDIT_LOG} - Initiator=193161ee-c122-4030-81f7-984f5197038d Action=Get-User-Claim-Values Target=a***n Data={"ServiceProviderName":"Console","Claims":{"http://wso2.org/claims/username":"a***n","http://wso2.org/claims/userid":"193161ee-c122-4030-81f7-984f5197038d","http://wso2.org/claims/roles":"I*****************************************************e","http://wso2.org/claims/groups":"a***n"}} Outcome=Success
TID: [] [2025-04-10 21:14:36,249] []  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-Claim-Value Target=a***n Data={"Claim Value":["1**********************************d"],"Claim":"urn:ietf:params:scim:schemas:core:2.0:id","Profile":"default"} Outcome=Success
TID: [-1234] [2025-04-10 21:15:11,798] [66ffc961-3620-4be0-9049-c33aad3ef3fc]  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-Claim-Values Target=a***n Data={"ServiceProviderName":"Console","Claims":{"http://wso2.org/claims/username":"a***n","http://wso2.org/claims/userid":"193161ee-c122-4030-81f7-984f5197038d","http://wso2.org/claims/roles":"I*****************************************************e","http://wso2.org/claims/groups":"a***n","http://wso2.org/claims/userprincipal":"a***n"}} Outcome=Success
TID: [-1234] [2025-04-10 21:15:12,352] [66ffc961-3620-4be0-9049-c33aad3ef3fc]  INFO {AUDIT_LOG} - Initiator : 193161ee-c122-4030-81f7-984f5197038d | Action : UpdateSession | Data : { {"traceId":"66ffc961-3620-4be0-9049-c33aad3ef3fc","RememberMe":false,"sessionContextId":"cf176148fbda29bd88585e5c88b03f69a3ad5aead905947ec3c942344f749025","AuthenticatedUserTenantDomain":"carbon.super","AuthenticatedUser":"P***********n","LastAccessedTimestamp":1744319711971} } | Result : Success 
TID: [-1234] [2025-04-10 21:15:12,370] [66ffc961-3620-4be0-9049-c33aad3ef3fc]  INFO {AUDIT_LOG} - Initiator : 1***********************************************r | Action : Login | Target : ApplicationAuthenticationFramework | Data : { "ContextIdentifier" : "6275affd-ffa7-40a0-b6e3-18b735fa885f","AuthenticatedUser" : "1***********************************************r","AuthenticatedUserTenantDomain" : "carbon.super","ServiceProviderName" : "Console","RequestType" : "oidc","RelyingParty" : "CONSOLE","AuthenticatedIdPs" : "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJ3c28yIiwiZXhwIjoxNzQ0MzE5NzE0NzY4LCJpYXQiOjE3NDQzMTk3MTE3NjgsImlkcHMiOlt7ImlkcCI6IkxPQ0FMIiwiYXV0aGVudGljYXRvciI6IkJhc2ljQXV0aGVudGljYXRvciJ9XX0.QIkDefsAXpJ569H14am6eWcsydc1l2cIbrqv4dKoQaU","User Agent" : "null","RemoteAddress" : "null","UserStoreDomain" : "PRIMARY" } | Result : Success 
TID: [-1234] [2025-04-10 21:15:27,551] [7f2f9939-1661-48e0-92e4-3f161956d6ef]  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-Claim-Values Target=a***n Data={"ServiceProviderName":"Console","Claims":{"http://wso2.org/claims/username":"a***n","http://wso2.org/claims/userid":"193161ee-c122-4030-81f7-984f5197038d","http://wso2.org/claims/roles":"I*****************************************************e","http://wso2.org/claims/groups":"a***n","http://wso2.org/claims/userprincipal":"a***n"}} Outcome=Success
TID: [-1234] [2025-04-10 21:15:27,640] [7f2f9939-1661-48e0-92e4-3f161956d6ef]  INFO {AUDIT_LOG} - Initiator : 193161ee-c122-4030-81f7-984f5197038d | Action : UpdateSession | Data : { {"traceId":"7f2f9939-1661-48e0-92e4-3f161956d6ef","RememberMe":false,"sessionContextId":"cf176148fbda29bd88585e5c88b03f69a3ad5aead905947ec3c942344f749025","AuthenticatedUserTenantDomain":"carbon.super","AuthenticatedUser":"P***********n","LastAccessedTimestamp":1744319727569} } | Result : Success 
TID: [-1234] [2025-04-10 21:15:27,669] [7f2f9939-1661-48e0-92e4-3f161956d6ef]  INFO {AUDIT_LOG} - Initiator : 1***********************************************r | Action : Login | Target : ApplicationAuthenticationFramework | Data : { "ContextIdentifier" : "7f238266-0eeb-45de-b6ff-3ccf71c2016d","AuthenticatedUser" : "1***********************************************r","AuthenticatedUserTenantDomain" : "carbon.super","ServiceProviderName" : "Console","RequestType" : "oidc","RelyingParty" : "CONSOLE","AuthenticatedIdPs" : "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJ3c28yIiwiZXhwIjoxNzQ0MzE5NzMwNDcyLCJpYXQiOjE3NDQzMTk3Mjc0NzIsImlkcHMiOlt7ImlkcCI6IkxPQ0FMIiwiYXV0aGVudGljYXRvciI6IkJhc2ljQXV0aGVudGljYXRvciJ9XX0.kCMyueNNkRSwK4Vrmu6mCtbOhAVWMoCmosjWUKKJ79E","User Agent" : "null","RemoteAddress" : "null","UserStoreDomain" : "PRIMARY" } | Result : Success 
TID: [-1234] [2025-04-10 21:15:38,579] [c4c810f1-f9f2-45be-90fd-c7ac5c9af062]  INFO {AUDIT_LOG} - Initiator=193161ee-c122-4030-81f7-984f5197038d Action=Get-User-Claim-Values Target=a***n Data={"ServiceProviderName":"Console","Claims":{"http://wso2.org/claims/username":"a***n","http://wso2.org/claims/userid":"193161ee-c122-4030-81f7-984f5197038d","http://wso2.org/claims/roles":"I*****************************************************e","http://wso2.org/claims/groups":"a***n"}} Outcome=Success
